name,name_for_emails,phone,website,address,street,city,postal_code,latitude,longitude,time_zone,working_hours,working_hours_csv_compatible,verified,owner_id,owner_title,owner_link,cid,kgmid
ဧရာရွှေဝါ (ကျိုက်လတ်),ဧရာရွှေဝါ ကျိုက်လတ်,+95 9 760 254013,,"CPVJ+M2, Kyaiklat",CPVJ+M2,Kyaiklat,,16.4443390,95.73066300000001,Asia/Rangoon,"{""Thursday"": [""6AM-6PM""]}","Thursday,6AM,6PM",False,None,ဧရာရွှေဝါ,,8.2761989338261719e+18,/g/11y0nxq856
"DENKO, Kyaiklat_01 _ _ AYY",Denko Kyaiklat_01 _ _ Ayy,+95 9 940 547848,http://www.denkomyanmar.com/,"FP54+JM, Kyaiklat",FP54+JM,Kyaiklat,,16.460148000000000,95.70653000000000,Asia/Rangoon,"{""Thursday"": [""4AM-9PM""]}","Thursday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, Kyaiklat_01 _ _ AYY",https://www.google.com/maps/contrib/108170126006522335959,-9.2233720368547758e+18,/g/11y3jp1s6g
"DENKO, Magway_01 _ Natmauk _ MGY",Denko Magway_01 _ Natmauk _ Mgy,+95 9 940 549193,http://www.denkomyanmar.com/,Magway,,Magway,,20.1638040,94.944689,Asia/Rangoon,"{""Monday"": [""4AM-9PM""], ""Tuesday"": [""4AM-9PM""], ""Wednesday"": [""4AM-9PM""], ""Thursday"": [""4AM-9PM""], ""Friday"": [""4AM-9PM""], ""Saturday"": [""4AM-9PM""], ""Sunday"": [""4AM-9PM""]}","Sunday,4AM,9PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4AM,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, Magway_01 _ Natmauk _ MGY",https://www.google.com/maps/contrib/112700474630234773356,-9.2233720368547758e+18,/g/11w4wb8kf2
"DENKO, Magway_02 _ TaungTwin _ MGY",Denko Magway_02 _ Taungtwin _ Mgy,+95 9 940 549194,,"ပြည်လမ်း, Magway",ပြည်လမ်း,Magway,,20.140615000000000,94.9588870,Asia/Rangoon,"{""Monday"": [""4AM-9PM""], ""Tuesday"": [""4AM-9PM""], ""Wednesday"": [""4-9PM""], ""Thursday"": [""4AM-9PM""], ""Friday"": [""4AM-9PM""], ""Saturday"": [""4AM-9PM""], ""Sunday"": [""4AM-9PM""]}","Sunday,4AM,9PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,4AM,9PM",True,-9.2233720368547758e+18,"DENKO, Magway_02 _ TaungTwin _ MGY",https://www.google.com/maps/contrib/118412286573631753385,8.5351036217399337e+18,/g/11fxxp7wr9
Min Htet Kwal Petrol Station,Min Htet Kwal Petrol Station,+95 63 26 667,,"2, Magway",2,Magway,,20.1418350,94.95637100000000,Asia/Rangoon,,,False,None,Min Htet Kwal Petrol Station,,3.9649961426541112e+18,/g/11h_6sl9s7
Max Energy (Magway-2),Max Energy Magway 2,+95 9 891 755176,http://www.maxenergy.com.mm/,"42F5+3HP, Magway",42F5+3HP,Magway,,20.1227120,95.0089530,Asia/Rangoon,"{""Monday"": [""5AM-9PM""], ""Tuesday"": [""5AM-9PM""], ""Wednesday"": [""5AM-9PM""], ""Thursday"": [""5AM-9PM""], ""Friday"": [""5AM-9PM""], ""Saturday"": [""5AM-9PM""], ""Sunday"": [""5AM-9PM""]}","Sunday,5AM,9PM|Monday,5AM,9PM|Tuesday,5AM,9PM|Wednesday,5AM,9PM|Thursday,5AM,9PM|Friday,5AM,9PM|Saturday,5AM,9PM",False,None,Max Energy,,8.127001912210986e+18,/g/11k9tl2b7f
Max Energy (Magway),Max Energy Magway,+95 9 891 755172,http://www.maxenergy.com.mm/,"6238+V4V, Kanbya",6238.0+V4V,Kanbya,,20.2047260,95.0153070,Asia/Rangoon,"{""Monday"": [""4AM-11:30PM""], ""Tuesday"": [""4AM-11:30PM""], ""Wednesday"": [""4AM-11:30PM""], ""Thursday"": [""4AM-11:30PM""], ""Friday"": [""4AM-11:30PM""], ""Saturday"": [""4AM-11:30PM""], ""Sunday"": [""4AM-11:30PM""]}","Sunday,4AM,11:30PM|Monday,4AM,11:30PM|Tuesday,4AM,11:30PM|Wednesday,4AM,11:30PM|Thursday,4AM,11:30PM|Friday,4AM,11:30PM|Saturday,4AM,11:30PM",False,None,Max Energy,,-9.2233720368547758e+18,/g/11t7_7dx5d
Regency Gas Station,Regency Gas Station,+95 9 968 821000,,"5XJJ+9MH, Kanhla",5XJJ+9MH,Kanhla,,20.1809350,94.9817450,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Regency Gas Station,,-9.2233720368547758e+18,/g/11ghsgvr98
Max Energy (Magway-3),Max Energy Magway 3,+95 9 891 755270,http://www.maxenergy.com.mm/,"Magway-Naypyitaw Highway, Road, Myothit","Magway-Naypyitaw Highway, Road",Myothit,,20.1854080,95.453013,Asia/Rangoon,"{""Monday"": [""5AM-10PM""], ""Tuesday"": [""5AM-10PM""], ""Wednesday"": [""5AM-10PM""], ""Thursday"": [""5AM-10PM""], ""Friday"": [""5AM-10PM""], ""Saturday"": [""5AM-10PM""], ""Sunday"": [""5AM-10PM""]}","Sunday,5AM,10PM|Monday,5AM,10PM|Tuesday,5AM,10PM|Wednesday,5AM,10PM|Thursday,5AM,10PM|Friday,5AM,10PM|Saturday,5AM,10PM",True,-9.2233720368547758e+18,Max Energy,https://www.google.com/maps/contrib/116926196572739483803,-9.2233720368547758e+18,/g/11mf41mghc
Ag Yadanar 2,Ag Yadanar 2,+95 9 40155 6099,,"5XPW+HW6, Kanbya",5XPW+HW6,Kanbya,,20.1864010,94.99727100000000,Asia/Rangoon,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",,False,None,Ag Yadanar 2,,-9.2233720368547758e+18,/g/11gy2r82r8
Mya Zaw Zaw,Mya Zaw Zaw,+95 9 44022 4942,,"5VC7+QVV, Minbu",5VC7+QVV,Minbu,,20.1719770,94.8646830,Asia/Rangoon,,,False,None,Mya Zaw Zaw,,6.5785122410687775e+18,/g/11l5nh2pb2
