name,brand,lat,lng,address_text,township,city,country_code
Max Energy (Thein Phyu),Max Energy,,,အမှတ်(၁၂၂)၊သိမ်ဖြူလမ်းမကြီး၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်။,Mingala Taungnyunt,Yangon,MM
Max Energy (Kyun Taw),Max Energy,,,ဟံသာဝတီလမ်းနှင့်ကျွန်းတောလမ်းဒေါင့်၊ ကမာရွတ်မြို့နယ်။,Kamayut,Yangon,MM
Max Energy (Ahlone),Max Energy,,,ကမ်းနားလမ်းနှင့်အလုံလမ်းဒေါင့်၊ အလုံမြို့နယ်။,Ahlon,Yangon,MM
Max Energy (Tamwe),Max Energy,,,ကျိုက္ကဆံလမ်း၊ တာမွေအခွန်လွတ် ဈေးဘေး။,Tamwe,Yangon,MM
Max Energy (Bahan),Max Energy,,,အမှတ်(၇၆)၊ ဗဟန်းမြို့နယ်။,Bahan,Yangon,MM
Max Energy (Thuwanna),Max Energy,,,သင်္ဃန်းကျွန်းမြို့နယ်။,Thingangyun,Yangon,MM
Max Energy (Tharkayta),Max Energy,,,မင်းနန္ဒာလမ်းနှင့်ဧရာဝဏ်လမ်းထောင့်။,Thaketa,Yangon,MM
Max Energy (Aung Mingalar),Max Energy,,,အောင်မင်္ဂလာအဝေးပြေးဝင်း။,Mingaladon,Yangon,MM
Max Energy (Padauk Chaung),Max Energy,,,ဘုရင့်နောင်လမ်းမကြီး၊ လှိုင်မြို့နယ်။,Hlaing,Yangon,MM
Max Energy (Dagon Ayar),Max Energy,,,ဒဂုံ-ဧရာအဝေးပြေးဝင်း၊ လှိုင်သာယာမြို့နယ်။,Hlegu,Yangon,MM
Max Energy (South Okkalapa),Max Energy,,,တောင်ဥက္ကလာပမြို့နယ်။,South Okkalapa,Yangon,MM
Max Energy (Hlegu-1),Max Energy,,,ရန်ကုန်-ပဲခူး ကားလမ်း၊ လှိုင်မြို့နယ်။,Hlegu,Yangon,MM
Max Energy (Hlegu-2),Max Energy,,,ရန်ကုန်-ပဲခူး ကားလမ်း၊ လှိုင်မြို့နယ်။,Hlegu,Yangon,MM
Max Energy (Sin Ma Lite),Max Energy,,,ဘုရင့်နောင်လမ်း၊ ကမာရွတ်မြို့နယ်။,Kamayut,Yangon,MM
Max Energy (Hmawbi-1),Max Energy,,,ရန်ကုန်-ပြည်ကားလမ်း၊ မှော်ဘီမြို့နယ်။,Hmawbi,Yangon,MM
Max Energy (Hmawbi-2),Max Energy,,,မှော်ဘီမြို့နယ်။,Hmawbi,Yangon,MM
Max Energy (Hmawbi-3),Max Energy,,,မှော်ဘီခရိုင်၊ ရန်ကုန်တိုင်းဒေသကြီး။,Hmawbi,Yangon,MM
Max Energy (Lay Daungkan),Max Energy,,,ဒဂုံမြို့သစ်တောင်ပိုင်းမြို့နယ်။,South Dagon,Yangon,MM
Max Energy (Shwepyithar),Max Energy,,,ရွှေပြည်သာ။,Shwepyitha,Yangon,MM
Max Energy (Mingaladon – Pyin Ma Pin),Max Energy,,,မင်္ဂလာဒုံမြို့နယ်။,Mingaladon,Yangon,MM
Max Energy (Dala),Max Energy,,,ဒလ-တွံတေးကားလမ်း၊ ဒလမြို့နယ်။,Dala,Yangon,MM
Max Energy (North Dagon),Max Energy,,,ဒဂုံမြို့သစ် (မြောက်ပိုင်း) မြို့နယ်။,North Dagon,Yangon,MM
Max Energy (Kamarkyi),Max Energy,,,သန်လျင်တံတားချဉ်းကပ်လမ်း၊ သာကေတ မြို့နယ်။,Thanlyin,Yangon,MM
