name,brand,lat,lng,address_text,township,city,country_code
Max Energy (Thein Phyu),Max Energy,16.789879,96.172659,အမှတ်(၁၂၂)၊သိမ်ဖြူလမ်းမကြီး၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်။,Mingala Taungnyunt,Yangon,MM
Max Energy (Kyun Taw),Max Energy,16.826480,96.130673,ဟံသာဝတီလမ်းနှင့်ကျွန်းတောလမ်းဒေါင့်၊ ကမာရွတ်မြို့နယ်။,Kamayut,Yangon,MM
Max Energy (Ahlone),Max Energy,16.787868,96.124431,ကမ်းနားလမ်းနှင့်အလုံလမ်းဒေါင့်၊ အလုံမြို့နယ်။,Ahlon,Yangon,MM
Max Energy (Tamwe),Max Energy,16.810097,96.176438,ကျိုက္ကဆံလမ်း၊ တာမွေအခွန်လွတ် ဈေးဘေး။,Tamwe,Yangon,MM
Max Energy (Bahan),Max Energy,16.773282,96.164522,အမှတ်(၇၆)၊ ဗဟန်းမြို့နယ်။,Bahan,Yangon,MM
Max Energy (Thuwanna),Max Energy,16.840945,96.173527,သင်္ဃန်းကျွန်းမြို့နယ်။,Thingangyun,Yangon,MM
Max Energy (Tharkayta),Max Energy,16.795553,96.213878,မင်းနန္ဒာလမ်းနှင့်ဧရာဝဏ်လမ်းထောင့်။,Thaketa,Yangon,MM
Max Energy (Aung Mingalar),Max Energy,16.992577,96.144176,အောင်မင်္ဂလာအဝေးပြေးဝင်း။,Mingaladon,Yangon,MM
Max Energy (Padauk Chaung),Max Energy,16.845165,96.121849,ဘုရင့်နောင်လမ်းမကြီး၊ လှိုင်မြို့နယ်။,Hlaing,Yangon,MM
Max Energy (Dagon Ayar),Max Energy,16.840939,96.173526,ဒဂုံ-ဧရာအဝေးပြေးဝင်း၊ လှိုင်သာယာမြို့နယ်။,Hlegu,Yangon,MM
Max Energy (South Okkalapa),Max Energy,16.851976,96.186226,တောင်ဥက္ကလာပမြို့နယ်။,South Okkalapa,Yangon,MM
Max Energy (Hlegu-1),Max Energy,16.840939,96.173526,ရန်ကုန်-ပဲခူး ကားလမ်း၊ လှိုင်မြို့နယ်။,Hlegu,Yangon,MM
Max Energy (Hlegu-2),Max Energy,16.840939,96.173526,ရန်ကုန်-ပဲခူး ကားလမ်း၊ လှိုင်မြို့နယ်။,Hlegu,Yangon,MM
Max Energy (Sin Ma Lite),Max Energy,16.826480,96.130673,ဘုရင့်နောင်လမ်း၊ ကမာရွတ်မြို့နယ်။,Kamayut,Yangon,MM
Max Energy (Hmawbi-1),Max Energy,17.100563,96.043751,ရန်ကုန်-ပြည်ကားလမ်း၊ မှော်ဘီမြို့နယ်။,Hmawbi,Yangon,MM
Max Energy (Hmawbi-2),Max Energy,17.100563,96.043751,မှော်ဘီမြို့နယ်။,Hmawbi,Yangon,MM
Max Energy (Hmawbi-3),Max Energy,17.100563,96.043751,မှော်ဘီခရိုင်၊ ရန်ကုန်တိုင်းဒေသကြီး။,Hmawbi,Yangon,MM
Max Energy (Lay Daungkan),Max Energy,16.854012,96.239976,ဒဂုံမြို့သစ်တောင်ပိုင်းမြို့နယ်။,South Dagon,Yangon,MM
Max Energy (Shwepyithar),Max Energy,16.959550,96.087670,ရွှေပြည်သာ။,Shwepyitha,Yangon,MM
Max Energy (Mingaladon – Pyin Ma Pin),Max Energy,16.992577,96.144176,မင်္ဂလာဒုံမြို့နယ်။,Mingaladon,Yangon,MM
Max Energy (Dala),Max Energy,16.756205,96.159131,ဒလ-တွံတေးကားလမ်း၊ ဒလမြို့နယ်။,Dala,Yangon,MM
Max Energy (North Dagon),Max Energy,16.878555,96.189407,ဒဂုံမြို့သစ် (မြောက်ပိုင်း) မြို့နယ်။,North Dagon,Yangon,MM
Max Energy (Kamarkyi),Max Energy,16.765967,96.251544,သန်လျင်တံတားချဉ်းကပ်လမ်း၊ သာကေတ မြို့နယ်။,Thanlyin,Yangon,MM
Max Energy (Kawhmu),Max Energy,16.546413,96.062421,ကော့မှုးမြို့နယ်။,Kawhmu,Yangon,MM
Max Energy (Nwe Khway),Max Energy,16.992577,96.144176,မင်္ဂလာဒုံမြို့နယ်။,Mingaladon,Yangon,MM
Max Energy (Twantay),Max Energy,16.712025,95.928561,တွံတေးမြို့နယ်။,Twante,Yangon,MM
Max Energy (North Dagon-2),Max Energy,16.878555,96.189407,ဒဂုံမြို့သစ်(မြောက်ပိုင်း)မြို့နယ်။,North Dagon,Yangon,MM
